model,family,source_registry,observable,density_status_target,comparison_group_registry,required_by,notes,source,comparison_group,implementation_status,density_implemented,estimation_attempted,converged,weak_identification,failure_reason,support_violation_rate,monotonicity_violation_rate,boundary_hit,estimation_nobs,loglik,aic,bic,registry_covered
OUF,classical,OU,log_price,estimable,log_price_density,article+methodology,exact OU transition,OU,log_price_density,estimated,True,True,True,False,,0.0,0.0,False,60000.0,473494.6249266193,-946983.2498532386,-946956.243553715,True
ThresholdOU_Heteroskedastic,classical,threshold OU,log_price,estimable,log_price_density,methodology,state-asymmetric local Gaussian transition,threshold OU,log_price_density,estimated,True,True,True,False,,0.0,0.0,False,60000.0,474253.06584945665,-948498.1316989133,-948462.1232995485,True
CIR_Price,classical,CIR,price,estimable,log_price_density,article+methodology,price density converted to log-price density,CIR,log_price_density,estimated,True,True,True,True,,0.0,0.0,False,60000.0,473565.68517486466,-947125.3703497293,-947098.3640502057,True
CIR_DepegPressure,classical,CIR,absolute_depeg,estimable,amplitude_only,methodology,not invertible to signed price,CIR,amplitude_only,estimated_existing_pipeline,True,True,True,False,,0.0,,False,,,,,True
AffineTransformedOU,OU_transform,OU Example 1,log_price,estimable,log_price_density,article+methodology,affine monotone transform,OU Example 1,log_price_density,estimated,True,True,True,False,,0.0,0.0,False,60000.0,474966.7515030326,-949927.5030060651,-949900.4967065415,True
ExponentialTransformedOU,OU_transform,OU Example 2,price,attempt,log_price_density,article+methodology,positive exponential-affine transform,OU Example 2,log_price_density,estimated,True,True,True,True,,0.0,0.0,True,60000.0,473197.21108534216,-946382.4221706843,-946328.409571637,True
SpecialFunctionTransformedOU,OU_transform,OU Example 3,price,diagnostic,structural_failure,article,even in latent OU state; generally not globally monotone,OU Example 3,structural_failure,failed_diagnostic_retained,True,False,False,True,dependence on latent squared state makes the map even and non-injective on R,,0.5012468827930174,False,0.0,,,,True
AffineTransformedCIR,CIR_transform,CIR Example 1,price,estimable,log_price_density,article+methodology,affine monotone transform,CIR Example 1,log_price_density,estimated,True,True,True,True,,0.0,0.0,False,60000.0,473940.90996052074,-947873.8199210415,-947837.8115216767,True
QuadraticTransformedCIR,CIR_transform,CIR Example 2,price,attempt,log_price_density,article+methodology,monotone only when A(t)>0 and B(t)>=0,CIR Example 2,log_price_density,failed_diagnostic_retained,True,True,False,True,no globally monotone/support-valid solution,1.0,1.0,False,60000.0,-inf,inf,inf,True
ExponentialTransformedCIR,CIR_transform,CIR Example 3,price,attempt,log_price_density,article+methodology,positive exponential-affine transform,CIR Example 3,log_price_density,failed_diagnostic_retained,True,True,False,True,no support-valid finite solution,0.94725,0.0,False,60000.0,-inf,inf,inf,True
